Material_ID,Cp1_residual,Cp2_residual
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
1,8505.5,992.0
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
2,3526.6999999999534,10721.999199999962
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
3,6862.0,2878.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
4,-8741.300000000047,-11539.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
5,9213.099999999977,-27144.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
6,-26827.160000000033,1867.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
7,15592.439999999944,-26214.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
8,-4601.229999999981,-31212.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
9,36869.39999999991,44978.0
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
10,48896.69999999995,112516.99679999985
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
11,8849.5,41651.0
