Material_ID,Cp1_residual,Cp2_residual
1,-2153.998399999924,746.5108999999939
2,-2153.998399999924,746.5108999999939
3,-2153.998399999924,746.5108999999939
4,-2153.998399999924,746.5108999999939
5,-2153.998399999924,746.5108999999939
6,-2153.998399999924,746.5108999999939
7,-2153.998399999924,746.5108999999939
8,-2153.998399999924,746.5108999999939
9,-2153.998399999924,746.5108999999939
10,-2153.998399999924,746.5108999999939
11,135.20299999989948,288.77449999999953
12,135.20299999989948,288.77449999999953
13,135.20299999989948,288.77449999999953
14,135.20299999989948,288.77449999999953
15,135.20299999989948,288.77449999999953
16,135.20299999989948,288.77449999999953
17,135.20299999989948,288.77449999999953
18,135.20299999989948,288.77449999999953
19,135.20299999989948,288.77449999999953
20,135.20299999989948,288.77449999999953
21,239.66649999994843,-4944.441099999996
22,239.66649999994843,-4944.441099999996
23,239.66649999994843,-4944.441099999996
24,239.66649999994843,-4944.441099999996
25,239.66649999994843,-4944.441099999996
26,239.66649999994843,-4944.441099999996
27,239.66649999994843,-4944.441099999996
28,239.66649999994843,-4944.441099999996
29,239.66649999994843,-4944.441099999996
30,239.66649999994843,-4944.441099999996
31,-275.9532999999137,4458.554900000017
32,-275.9532999999137,4458.554900000017
33,-275.9532999999137,4458.554900000017
34,-275.9532999999137,4458.554900000017
35,-275.9532999999137,4458.554900000017
36,-275.9532999999137,4458.554900000017
37,-275.9532999999137,4458.554900000017
38,-275.9532999999137,4458.554900000017
39,-275.9532999999137,4458.554900000017
40,-275.9532999999137,4458.554900000017
41,1945.4937000000718,9304.867399999916
42,1945.4937000000718,9304.867399999916
43,1945.4937000000718,9304.867399999916
44,1945.4937000000718,9304.867399999916
45,1945.4937000000718,9304.867399999916
46,1945.4937000000718,9304.867399999916
47,1945.4937000000718,9304.867399999916
48,1945.4937000000718,9304.867399999916
49,1945.4937000000718,9304.867399999916
50,1945.4937000000718,9304.867399999916
51,-4780.2703999999285,-15792.990500000014
52,-4780.2703999999285,-15792.990500000014
53,-4780.2703999999285,-15792.990500000014
54,-4780.2703999999285,-15792.990500000014
55,-4780.2703999999285,-15792.990500000014
56,-4780.2703999999285,-15792.990500000014
57,-4780.2703999999285,-15792.990500000014
58,-4780.2703999999285,-15792.990500000014
59,-4780.2703999999285,-15792.990500000014
60,-4780.2703999999285,-15792.990500000014
61,4710.3945999999705,13142.79550000008
62,4710.3945999999705,13142.79550000008
63,4710.3945999999705,13142.79550000008
64,4710.3945999999705,13142.79550000008
65,4710.3945999999705,13142.79550000008
66,4710.3945999999705,13142.79550000008
67,4710.3945999999705,13142.79550000008
68,4710.3945999999705,13142.79550000008
69,4710.3945999999705,13142.79550000008
70,4710.3945999999705,13142.79550000008
71,6096.868800000026,29827.470299999994
72,6096.868800000026,29827.470299999994
73,6096.868800000026,29827.470299999994
74,6096.868800000026,29827.470299999994
75,6096.868800000026,29827.470299999994
76,6096.868800000026,29827.470299999994
77,6096.868800000026,29827.470299999994
78,6096.868800000026,29827.470299999994
79,6096.868800000026,29827.470299999994
80,6096.868800000026,29827.470299999994
81,1488.0476999999955,8959.44769999996
82,1488.0476999999955,8959.44769999996
83,1488.0476999999955,8959.44769999996
84,1488.0476999999955,8959.44769999996
85,1488.0476999999955,8959.44769999996
