Material_ID,Cp1_residual,Cp2_residual
1,-44.44200245,-23.71212648
2,-44.44200245,-23.71212648
3,-44.44200245,-23.71212648
4,-44.44200245,-23.71212648
5,-44.44200245,-23.71212648
6,-44.44200245,-23.71212648
7,-44.44200245,-23.71212648
8,-44.44200245,-23.71212648
9,-44.44200245,-23.71212648
10,-44.44200245,-23.71212648
11,-1.266972229,-5.248839876
12,-1.266972229,-5.248839876
13,-1.266972229,-5.248839876
14,-1.266972229,-5.248839876
15,-1.266972229,-5.248839876
16,-1.266972229,-5.248839876
17,-1.266972229,-5.248839876
18,-1.266972229,-5.248839876
19,-1.266972229,-5.248839876
20,-1.266972229,-5.248839876
21,3.753857997,10.63684673
22,3.753857997,10.63684673
23,3.753857997,10.63684673
24,3.753857997,10.63684673
25,3.753857997,10.63684673
26,3.753857997,10.63684673
27,3.753857997,10.63684673
28,3.753857997,10.63684673
29,3.753857997,10.63684673
30,3.753857997,10.63684673
31,-18.53301178,-3.629466672
32,-18.53301178,-3.629466672
33,-18.53301178,-3.629466672
34,-18.53301178,-3.629466672
35,-18.53301178,-3.629466672
36,-18.53301178,-3.629466672
37,-18.53301178,-3.629466672
38,-18.53301178,-3.629466672
39,-18.53301178,-3.629466672
40,-18.53301178,-3.629466672
41,-4.418581553,11.31221993
42,-4.418581553,11.31221993
43,-4.418581553,11.31221993
44,-4.418581553,11.31221993
45,-4.418581553,11.31221993
46,-4.418581553,11.31221993
47,-4.418581553,11.31221993
48,-4.418581553,11.31221993
49,-4.418581553,11.31221993
50,-4.418581553,11.31221993
51,47.82484867,81.21490653
52,47.82484867,81.21490653
53,47.82484867,81.21490653
54,47.82484867,81.21490653
55,47.82484867,81.21490653
56,47.82484867,81.21490653
57,47.82484867,81.21490653
58,47.82484867,81.21490653
59,47.82484867,81.21490653
60,47.82484867,81.21490653
61,5.132278898,37.81959313
62,5.132278898,37.81959313
63,5.132278898,37.81959313
64,5.132278898,37.81959313
65,5.132278898,37.81959313
66,5.132278898,37.81959313
67,5.132278898,37.81959313
68,5.132278898,37.81959313
69,5.132278898,37.81959313
70,5.132278898,37.81959313
71,48.46370912,38.84127973
72,48.46370912,38.84127973
73,48.46370912,38.84127973
74,48.46370912,38.84127973
75,48.46370912,38.84127973
76,48.46370912,38.84127973
77,48.46370912,38.84127973
78,48.46370912,38.84127973
79,48.46370912,38.84127973
80,48.46370912,38.84127973
81,-30.7841116,32.23351162
82,-30.7841116,32.23351162
83,-30.7841116,32.23351162
84,-30.7841116,32.23351162
85,-30.7841116,32.23351162
86,-30.7841116,32.23351162
87,-30.7841116,32.23351162
88,-30.7841116,32.23351162
89,-30.7841116,32.23351162
90,-30.7841116,32.23351162
91,-2.036066259,11.70144152
92,-2.036066259,11.70144152
93,-2.036066259,11.70144152
94,-2.036066259,11.70144152
95,-2.036066259,11.70144152
96,-2.036066259,11.70144152
97,-2.036066259,11.70144152
98,-2.036066259,11.70144152
99,-2.036066259,11.70144152
100,-2.036066259,11.70144152
101,-11.07942092,-5.966528572
102,-11.07942092,-5.966528572
103,-11.07942092,-5.966528572
104,-11.07942092,-5.966528572
105,-11.07942092,-5.966528572
106,-11.07942092,-5.966528572
107,-11.07942092,-5.966528572
108,-11.07942092,-5.966528572
109,-11.07942092,-5.966528572
110,-11.07942092,-5.966528572
111,-11.76677558,-9.30849867
112,-11.76677558,-9.30849867
113,-11.76677558,-9.30849867
114,-11.76677558,-9.30849867
115,-11.76677558,-9.30849867
116,-11.76677558,-9.30849867
117,-11.76677558,-9.30849867
118,-11.76677558,-9.30849867
119,-11.76677558,-9.30849867
120,-11.76677558,-9.30849867
121,3.508869756,-2.773468767
122,3.508869756,-2.773468767
123,3.508869756,-2.773468767
124,3.508869756,-2.773468767
125,3.508869756,-2.773468767
126,3.508869756,-2.773468767
127,3.508869756,-2.773468767
128,3.508869756,-2.773468767
129,3.508869756,-2.773468767
130,3.508869756,-2.773468767
131,39.96316043,15.00159104
132,39.96316043,15.00159104
133,39.96316043,15.00159104
134,39.96316043,15.00159104
135,39.96316043,15.00159104
136,39.96316043,15.00159104
137,39.96316043,15.00159104
138,39.96316043,15.00159104
139,39.96316043,15.00159104
140,39.96316043,15.00159104
141,17.07180577,-8.804379059
142,17.07180577,-8.804379059
143,17.07180577,-8.804379059
144,17.07180577,-8.804379059
145,17.07180577,-8.804379059
146,17.07180577,-8.804379059
147,17.07180577,-8.804379059
148,17.07180577,-8.804379059
149,17.07180577,-8.804379059
150,17.07180577,-8.804379059
151,30.77252025,15.03181738
152,30.77252025,15.03181738
153,30.77252025,15.03181738
154,30.77252025,15.03181738
155,30.77252025,15.03181738
156,30.77252025,15.03181738
157,30.77252025,15.03181738
158,30.77252025,15.03181738
159,30.77252025,15.03181738
160,30.77252025,15.03181738
161,18.31513537,22.68016068
162,18.31513537,22.68016068
163,18.31513537,22.68016068
164,18.31513537,22.68016068
165,18.31513537,22.68016068
166,18.31513537,22.68016068
167,18.31513537,22.68016068
168,18.31513537,22.68016068
169,18.31513537,22.68016068
170,18.31513537,22.68016068
171,15.19655048,19.33240398
172,15.19655048,19.33240398
173,15.19655048,19.33240398
174,15.19655048,19.33240398
175,15.19655048,19.33240398
176,15.19655048,19.33240398
177,15.19655048,19.33240398
178,15.19655048,19.33240398
179,15.19655048,19.33240398
180,15.19655048,19.33240398
181,30.84526559,12.63964728
182,30.84526559,12.63964728
183,30.84526559,12.63964728
184,30.84526559,12.63964728
185,30.84526559,12.63964728
186,30.84526559,12.63964728
187,30.84526559,12.63964728
188,30.84526559,12.63964728
189,30.84526559,12.63964728
190,30.84526559,12.63964728
191,50.54718071,11.32409058
192,50.54718071,11.32409058
193,50.54718071,11.32409058
