Cp1_residual,Cp2_residual
-44.44200245,-23.71212648
-1.266972229,-5.248839876
3.753857997,10.63684673
-18.53301178,-3.629466672
-4.418581553,11.31221993
47.82484867,81.21490653
5.132278898,37.81959313
48.46370912,38.84127973
-30.7841116,32.23351162
-2.036066259,11.70144152
-11.07942092,-5.966528572
-11.76677558,-9.30849867
3.508869756,-2.773468767
39.96316043,15.00159104
17.07180577,-8.804379059
30.77252025,15.03181738
18.31513537,22.68016068
15.19655048,19.33240398
30.84526559,12.63964728
50.54718071,11.32409058
26.09062781,14.23178903
15.35014292,23.34593233
12.53465804,14.80087563
29.02457315,5.542118932
28.92138826,5.600362233
61.31930337,7.881905534
69.51931849,10.36844883
-5.361841339,-8.449858978
6.262666218,0.980312672
-17.64255645,-14.03320228
-9.472048895,-12.53063063
4.146323425,-23.73525725
28.92138826,5.600362233
61.31930337,7.881905534
-35.31429074,-30.91612053
-0.837378213,-21.24953166
13.05802934,-8.856960012
-9.810463101,-11.31518836
-24.96274799,2.082954939
-15.57340935,-20.78150383
-3.74121702,-1.504525549
15.15823111,20.73370853
19.26123867,22.16908018
4.526846223,12.72185183
4.207961336,0.902795134
30.71807645,-7.912361566
14.631684,-14.20018992
12.76579912,-16.23984661
-7.72368577,-23.01950331
-7.500191558,25.42349358
4.195723554,15.05303688
-19.90629368,5.744426593
-18.66278613,-10.64170176
-13.61387857,4.465169894
-24.89827101,-5.242158456
-8.897063456,-6.211386806
-33.9317559,-16.48761516
-24.74154834,6.204256495
-40.62004079,-5.884971854
-26.83673323,7.229999796
-11.48282567,-10.32592855
-32.79371812,7.301243097
25.97248944,-7.965985252
4.476596995,8.260386398
10.37433654,-37.84228681
-13.55844834,-16.8061435
17.1569645,20.66379093
24.22073776,9.423494615
3.638260365,1.367359464
-12.04549911,21.23192193
-20.38937753,-40.65075087
-19.9599664,67.32319214
-74.51795129,-80.01546456
-7.470294405,-5.005210562
4.377405595,3.895089438
3.336328211,1.232904426
5.302615998,28.72866523
4.526846223,12.72185183
4.207961336,0.902795134
11.48750667,-19.67797496
-0.837378213,-21.24953166
-20.38937753,-40.65075087
-51.82174997,-49.08346922
-29.87800241,-15.55659757
-23.30609486,5.048474078
7.963612698,19.58274573
26.09062781,14.23178903
12.53465804,14.80087563
6.757053461,0.27989723
-13.29801758,-8.788396469
-1.922799669,-1.681383867
-5.387540713,-6.877277567
22.78629415,15.64683617
-35.31429074,-30.91612053
-49.65968486,-38.73014659
-20.41967897,-27.02237265
45.69224203,24.52164459
53.09219582,10.15313388
62.88271093,9.721877184
57.10732604,-6.414479515
-63.93985884,-68.24913621
119.1586563,124.6682071
-74.25123618,-126.1781213
-29.17102862,-16.97544961
-66.98162106,-72.22377796
-71.53991351,11.00889369
-71.46180595,-76.61943466
19.58775378,8.184623483
32.48536889,-9.742233216
14.27759156,-18.51551826
-34.57214043,-12.60937341
-6.071432875,14.15329824
-5.205325319,18.55596989
-8.695517763,7.882641541
-38.20541021,-4.822686809
-43.60430265,-17.79401516
-54.53920468,-45.86811131
-7.41919712,-12.37473966
-46.94510635,-40.70580903
-28.41939291,-26.52646344
-9.201674451,-0.175024713
5.977387767,-2.917282965
-39.51854875,-44.07778605
48.99901465,40.09180821
6.238235647,-0.19097455
-3.432366895,0.798646938
-7.41919712,-12.37473966
55.72382388,33.04967757
26.72855577,45.14266189
-9.201674451,-0.175024713
-94.4623244,-40.94737339
6.305005462,11.89518239
1.45769861,-10.7575736
15.76634465,6.480571969
-13.1351629,20.93160032
63.05652954,5.103728668
-104.4648478,-126.7885564
24.38704465,9.168171969
21.15096732,4.36858692
1.506674173,-8.732657092
4.142820575,-0.072074307
-42.70948628,-4.239230295
-8.806770461,17.75392867
13.68585221,0.473543619
21.00054465,-0.675128031
13.83436732,-4.34091308
16.60915976,0.29191527
15.12248243,-3.466569779
9.46728999,-2.204298128
-10.42060179,-21.66533218
-12.25219423,-22.98406053
-14.61878668,-18.42578888
-13.79247912,-15.07301723
-13.14077156,-5.38444558
-19.08696401,-17.09047393
8.945673774,1.308184323
18.30048133,11.66835597
22.89128889,16.04702762
21.51189644,16.19769927
-7.222158626,-8.822090168
-24.28308176,7.007628734
3.649877201,-1.739664965
16.09993616,-31.42395866
-0.718004886,11.15124764
-1.968071267,-0.080454159
-4.782463711,1.631717491
-2.320656154,1.325889142
4.263851402,-3.695139208
4.630958959,0.815232443
49.19820053,8.003493082
-4.39699358,-1.901132981
4.364685422,9.664149781
-115.5273069,-120.1425613
0.178704855,0.179186569
-54.92460702,-15.69887857
171.9787166,38.59393444
-51.67669839,-32.00976301
-76.31359084,-81.13609136
28.16151672,57.57858029
-70.03037572,-96.14574806
-40.52719509,-5.863343508
-17.06697998,17.43399979
-16.32355178,0.338990239
-19.01422911,1.10400519
26.72855577,45.14266189
-37.72172323,14.60137913
48.43278266,47.00375307
82.67308243,70.04153022
9.46728999,-2.204298128
-5.749902454,-14.83702648
-13.23748734,-14.57978318
-44.44200245,-23.71212648
-13.12358734,-6.400983177
10.82012021,-6.425511526
-1.266972229,-5.248839876
32.677504,25.20937092
36.09551156,28.69304257
44.19121911,35.49571423
32.93732667,50.47938588
36.77843422,54.67905753
45.46054178,62.65872918
14.89435407,2.181253937
-3.779386973,15.66756024
-2.421928016,-8.493933461
-0.50536906,-0.141427161
32.68103466,28.78368868
-83.02497711,-91.5380592
