Material_ID,Cp1_residual,Cp2_residual
93,44740.19999999995,116920.62159999995
94,44740.19999999995,116920.62159999995
95,44740.19999999995,116920.62159999995
96,44740.19999999995,116920.62159999995
97,44740.19999999995,116920.62159999995
98,44740.19999999995,116920.62159999995
99,44740.19999999995,116920.62159999995
100,44740.19999999995,116920.62159999995
101,11214.100000000093,43401.0
102,11214.100000000093,43401.0
103,11214.100000000093,43401.0
104,11214.100000000093,43401.0
105,11214.100000000093,43401.0
106,11214.100000000093,43401.0
107,11214.100000000093,43401.0
108,11214.100000000093,43401.0
109,11214.100000000093,43401.0
110,11214.100000000093,43401.0
111,22311.300000000047,17293.0
112,22311.300000000047,17293.0
113,22311.300000000047,17293.0
114,22311.300000000047,17293.0
115,22311.300000000047,17293.0
116,22311.300000000047,17293.0
117,22311.300000000047,17293.0
118,22311.300000000047,17293.0
119,22311.300000000047,17293.0
120,22311.300000000047,17293.0
121,-9399.399999999907,33691.0
122,-9399.399999999907,33691.0
123,-9399.399999999907,33691.0
124,-9399.399999999907,33691.0
125,-9399.399999999907,33691.0
126,-9399.399999999907,33691.0
127,-9399.399999999907,33691.0
128,-9399.399999999907,33691.0
129,-9399.399999999907,33691.0
130,-9399.399999999907,33691.0
131,-53375.80000000005,5330.0
132,-53375.80000000005,5330.0
133,-53375.80000000005,5330.0
134,-53375.80000000005,5330.0
135,-53375.80000000005,5330.0
136,-53375.80000000005,5330.0
137,-53375.80000000005,5330.0
138,-53375.80000000005,5330.0
139,-53375.80000000005,5330.0
140,-53375.80000000005,5330.0
141,-34936.30000000005,62321.0
142,-34936.30000000005,62321.0
143,-34936.30000000005,62321.0
144,-34936.30000000005,62321.0
145,-34936.30000000005,62321.0
146,-34936.30000000005,62321.0
147,-34936.30000000005,62321.0
148,-34936.30000000005,62321.0
149,-34936.30000000005,62321.0
150,-34936.30000000005,62321.0
151,-2548.8000000000466,15712.0
152,-2548.8000000000466,15712.0
153,-2548.8000000000466,15712.0
154,-2548.8000000000466,15712.0
155,-2548.8000000000466,15712.0
156,-2548.8000000000466,15712.0
157,-2548.8000000000466,15712.0
158,-2548.8000000000466,15712.0
159,-2548.8000000000466,15712.0
160,-2548.8000000000466,15712.0
161,4705.0,10756.900000000023
162,4705.0,10756.900000000023
163,4705.0,10756.900000000023
164,4705.0,10756.900000000023
165,4705.0,10756.900000000023
166,4705.0,10756.900000000023
167,4705.0,10756.900000000023
168,4705.0,10756.900000000023
169,4705.0,10756.900000000023
170,4705.0,10756.900000000023
171,416.19999999995343,6433.900000000023
172,416.19999999995343,6433.900000000023
173,416.19999999995343,6433.900000000023
174,416.19999999995343,6433.900000000023
175,416.19999999995343,6433.900000000023
176,416.19999999995343,6433.900000000023
177,416.19999999995343,6433.900000000023
178,416.19999999995343,6433.900000000023
179,416.19999999995343,6433.900000000023
180,416.19999999995343,6433.900000000023
181,1658.9000000000233,13578.0
182,1658.9000000000233,13578.0
183,1658.9000000000233,13578.0
184,1658.9000000000233,13578.0
185,1658.9000000000233,13578.0
186,1658.9000000000233,13578.0
187,1658.9000000000233,13578.0
188,1658.9000000000233,13578.0
189,1658.9000000000233,13578.0
190,1658.9000000000233,13578.0
191,-904.5,6023.199999999953
192,-904.5,6023.199999999953
193,-904.5,6023.199999999953
194,-904.5,6023.199999999953
195,-904.5,6023.199999999953
196,-904.5,6023.199999999953
197,-904.5,6023.199999999953
198,-904.5,6023.199999999953
199,-904.5,6023.199999999953
200,-904.5,6023.199999999953
201,-411.5,9029.900000000023
202,-411.5,9029.900000000023
203,-411.5,9029.900000000023
204,-411.5,9029.900000000023
205,-411.5,9029.900000000023
206,-411.5,9029.900000000023
207,-411.5,9029.900000000023
1,-411.5,9029.900000000023
2,-411.5,9029.900000000023
3,-411.5,9029.900000000023
4,3053.5999999999767,7937.300000000047
5,3053.5999999999767,7937.300000000047
6,3053.5999999999767,7937.300000000047
7,3053.5999999999767,7937.300000000047
8,3053.5999999999767,7937.300000000047
9,3053.5999999999767,7937.300000000047
10,3053.5999999999767,7937.300000000047
11,3053.5999999999767,7937.300000000047
12,3053.5999999999767,7937.300000000047
13,3053.5999999999767,7937.300000000047
14,1201.4000000000233,803.1999999999534
15,1201.4000000000233,803.1999999999534
16,1201.4000000000233,803.1999999999534
17,1201.4000000000233,803.1999999999534
18,1201.4000000000233,803.1999999999534
19,1201.4000000000233,803.1999999999534
20,1201.4000000000233,803.1999999999534
21,1201.4000000000233,803.1999999999534
22,1201.4000000000233,803.1999999999534
23,1201.4000000000233,803.1999999999534
24,3069.0,9654.900000000023
25,3069.0,9654.900000000023
26,3069.0,9654.900000000023
27,3069.0,9654.900000000023
28,3069.0,9654.900000000023
29,3069.0,9654.900000000023
30,3069.0,9654.900000000023
31,3069.0,9654.900000000023
32,3069.0,9654.900000000023
33,3069.0,9654.900000000023
34,185.59999999997672,3622.3000000000466
35,185.59999999997672,3622.3000000000466
36,185.59999999997672,3622.3000000000466
37,185.59999999997672,3622.3000000000466
38,185.59999999997672,3622.3000000000466
39,185.59999999997672,3622.3000000000466
40,185.59999999997672,3622.3000000000466
41,185.59999999997672,3622.3000000000466
42,185.59999999997672,3622.3000000000466
43,185.59999999997672,3622.3000000000466
44,459.69999999995343,4367.099999999977
45,459.69999999995343,4367.099999999977
46,459.69999999995343,4367.099999999977
47,459.69999999995343,4367.099999999977
48,459.69999999995343,4367.099999999977
49,459.69999999995343,4367.099999999977
50,459.69999999995343,4367.099999999977
51,459.69999999995343,4367.099999999977
52,459.69999999995343,4367.099999999977
53,459.69999999995343,4367.099999999977
54,-1081.5,10743.599999999977
55,-1081.5,10743.599999999977
56,-1081.5,10743.599999999977
57,-1081.5,10743.599999999977
58,-1081.5,10743.599999999977
59,-1081.5,10743.599999999977
60,-1081.5,10743.599999999977
61,-1081.5,10743.599999999977
62,-1081.5,10743.599999999977
63,-1081.5,10743.599999999977
64,-1174.4000000000233,1164.8000000000466
65,-1174.4000000000233,1164.8000000000466
66,-1174.4000000000233,1164.8000000000466
67,-1174.4000000000233,1164.8000000000466
68,-1174.4000000000233,1164.8000000000466
69,-1174.4000000000233,1164.8000000000466
70,-1174.4000000000233,1164.8000000000466
71,-1174.4000000000233,1164.8000000000466
72,-1174.4000000000233,1164.8000000000466
73,-1174.4000000000233,1164.8000000000466
74,-1004.9000000000233,1796.3000000000466
75,-1004.9000000000233,1796.3000000000466
76,-1004.9000000000233,1796.3000000000466
77,-1004.9000000000233,1796.3000000000466
78,-1004.9000000000233,1796.3000000000466
79,-1004.9000000000233,1796.3000000000466
80,-1004.9000000000233,1796.3000000000466
81,-1004.9000000000233,1796.3000000000466
82,-1004.9000000000233,1796.3000000000466
83,-1004.9000000000233,1796.3000000000466
84,97.40000000002328,2430.4000000000233
85,97.40000000002328,2430.4000000000233
86,97.40000000002328,2430.4000000000233
87,97.40000000002328,2430.4000000000233
88,97.40000000002328,2430.4000000000233
89,97.40000000002328,2430.4000000000233
90,97.40000000002328,2430.4000000000233
91,97.40000000002328,2430.4000000000233
92,97.40000000002328,2430.4000000000233
93,97.40000000002328,2430.4000000000233
94,-91.79999999998836,4435.099999999977
95,-91.79999999998836,4435.099999999977
96,-91.79999999998836,4435.099999999977
97,-91.79999999998836,4435.099999999977
98,-91.79999999998836,4435.099999999977
99,-91.79999999998836,4435.099999999977
100,-91.79999999998836,4435.099999999977
101,-91.79999999998836,4435.099999999977
102,-91.79999999998836,4435.099999999977
103,-91.79999999998836,4435.099999999977
104,-63721.59999999998,893.0
105,-63721.59999999998,893.0
106,-63721.59999999998,893.0
107,-63721.59999999998,893.0
108,-63721.59999999998,893.0
109,-63721.59999999998,893.0
110,-63721.59999999998,893.0
111,-63721.59999999998,893.0
112,-63721.59999999998,893.0
113,-63721.59999999998,893.0
114,185.59999999997672,3622.3000000000466
115,185.59999999997672,3622.3000000000466
116,185.59999999997672,3622.3000000000466
117,185.59999999997672,3622.3000000000466
118,185.59999999997672,3622.3000000000466
119,185.59999999997672,3622.3000000000466
120,185.59999999997672,3622.3000000000466
121,185.59999999997672,3622.3000000000466
122,185.59999999997672,3622.3000000000466
123,185.59999999997672,3622.3000000000466
124,459.69999999995343,4367.099999999977
125,459.69999999995343,4367.099999999977
126,459.69999999995343,4367.099999999977
127,459.69999999995343,4367.099999999977
128,459.69999999995343,4367.099999999977
129,459.69999999995343,4367.099999999977
130,459.69999999995343,4367.099999999977
131,459.69999999995343,4367.099999999977
132,459.69999999995343,4367.099999999977
133,459.69999999995343,4367.099999999977
134,33640.09149999998,3309.5999999999767
135,33640.09149999998,3309.5999999999767
136,33640.09149999998,3309.5999999999767
137,33640.09149999998,3309.5999999999767
138,33640.09149999998,3309.5999999999767
139,33640.09149999998,3309.5999999999767
140,33640.09149999998,3309.5999999999767
141,33640.09149999998,3309.5999999999767
142,33640.09149999998,3309.5999999999767
143,33640.09149999998,3309.5999999999767
144,-128.09999999997672,-2844.1999999999534
145,-128.09999999997672,-2844.1999999999534
146,-128.09999999997672,-2844.1999999999534
147,-128.09999999997672,-2844.1999999999534
148,-128.09999999997672,-2844.1999999999534
149,-128.09999999997672,-2844.1999999999534
150,-128.09999999997672,-2844.1999999999534
151,-128.09999999997672,-2844.1999999999534
152,-128.09999999997672,-2844.1999999999534
153,-128.09999999997672,-2844.1999999999534
154,-290.79999999998836,1213.5
155,-290.79999999998836,1213.5
156,-290.79999999998836,1213.5
157,-290.79999999998836,1213.5
158,-290.79999999998836,1213.5
159,-290.79999999998836,1213.5
160,-290.79999999998836,1213.5
161,-290.79999999998836,1213.5
162,-290.79999999998836,1213.5
163,-290.79999999998836,1213.5
164,1244.5999999999767,3319.0999999999767
165,1244.5999999999767,3319.0999999999767
166,1244.5999999999767,3319.0999999999767
167,1244.5999999999767,3319.0999999999767
168,1244.5999999999767,3319.0999999999767
169,1244.5999999999767,3319.0999999999767
170,1244.5999999999767,3319.0999999999767
171,1244.5999999999767,3319.0999999999767
172,1244.5999999999767,3319.0999999999767
173,1244.5999999999767,3319.0999999999767
174,9734.400000000023,8815.400000000023
175,9734.400000000023,8815.400000000023
176,9734.400000000023,8815.400000000023
177,9734.400000000023,8815.400000000023
178,9734.400000000023,8815.400000000023
179,9734.400000000023,8815.400000000023
180,9734.400000000023,8815.400000000023
181,9734.400000000023,8815.400000000023
182,9734.400000000023,8815.400000000023
183,9734.400000000023,8815.400000000023
184,-3733.2999999999884,25624.852000000014
185,-3733.2999999999884,25624.852000000014
186,-3733.2999999999884,25624.852000000014
187,-3733.2999999999884,25624.852000000014
188,-3733.2999999999884,25624.852000000014
189,-3733.2999999999884,25624.852000000014
190,-3733.2999999999884,25624.852000000014
191,-3733.2999999999884,25624.852000000014
192,-3733.2999999999884,25624.852000000014
193,-3733.2999999999884,25624.852000000014
194,-6518.424899999987,-18282.517800000016
195,-6518.424899999987,-18282.517800000016
196,-6518.424899999987,-18282.517800000016
197,-6518.424899999987,-18282.517800000016
198,-6518.424899999987,-18282.517800000016
199,-6518.424899999987,-18282.517800000016
200,-6518.424899999987,-18282.517800000016
201,-6518.424899999987,-18282.517800000016
202,-6518.424899999987,-18282.517800000016
203,-6518.424899999987,-18282.517800000016
204,-718.0999999999767,-14375.477000000014
205,-718.0999999999767,-14375.477000000014
206,-718.0999999999767,-14375.477000000014
207,-718.0999999999767,-14375.477000000014
1,-718.0999999999767,-14375.477000000014
2,-718.0999999999767,-14375.477000000014
3,-718.0999999999767,-14375.477000000014
4,-718.0999999999767,-14375.477000000014
5,-718.0999999999767,-14375.477000000014
6,-718.0999999999767,-14375.477000000014
7,4089.7000000000116,-7867.177000000025
8,4089.7000000000116,-7867.177000000025
9,4089.7000000000116,-7867.177000000025
10,4089.7000000000116,-7867.177000000025
11,4089.7000000000116,-7867.177000000025
12,4089.7000000000116,-7867.177000000025
13,4089.7000000000116,-7867.177000000025
14,4089.7000000000116,-7867.177000000025
15,4089.7000000000116,-7867.177000000025
16,4089.7000000000116,-7867.177000000025
17,2856.2999999999884,-7046.0
18,2856.2999999999884,-7046.0
19,2856.2999999999884,-7046.0
20,2856.2999999999884,-7046.0
21,2856.2999999999884,-7046.0
22,2856.2999999999884,-7046.0
23,2856.2999999999884,-7046.0
24,2856.2999999999884,-7046.0
25,2856.2999999999884,-7046.0
26,2856.2999999999884,-7046.0
27,-31.900000000023283,453.9000000000233
28,-31.900000000023283,453.9000000000233
29,-31.900000000023283,453.9000000000233
30,-31.900000000023283,453.9000000000233
31,-31.900000000023283,453.9000000000233
32,-31.900000000023283,453.9000000000233
33,-31.900000000023283,453.9000000000233
34,-31.900000000023283,453.9000000000233
35,-31.900000000023283,453.9000000000233
36,-31.900000000023283,453.9000000000233
37,979.5,-3623.0
38,979.5,-3623.0
39,979.5,-3623.0
40,979.5,-3623.0
41,979.5,-3623.0
42,979.5,-3623.0
43,979.5,-3623.0
44,979.5,-3623.0
45,979.5,-3623.0
46,979.5,-3623.0
47,1623.5,-7057.0
48,1623.5,-7057.0
49,1623.5,-7057.0
50,1623.5,-7057.0
51,1623.5,-7057.0
52,1623.5,-7057.0
53,1623.5,-7057.0
54,1623.5,-7057.0
55,1623.5,-7057.0
56,1623.5,-7057.0
57,-664.0999999999767,-6996.800000000047
58,-664.0999999999767,-6996.800000000047
59,-664.0999999999767,-6996.800000000047
60,-664.0999999999767,-6996.800000000047
61,-664.0999999999767,-6996.800000000047
62,-664.0999999999767,-6996.800000000047
63,-664.0999999999767,-6996.800000000047
64,-664.0999999999767,-6996.800000000047
65,-664.0999999999767,-6996.800000000047
66,-664.0999999999767,-6996.800000000047
67,-219.20000000001164,-5500.099999999977
68,-219.20000000001164,-5500.099999999977
69,-219.20000000001164,-5500.099999999977
70,-219.20000000001164,-5500.099999999977
71,-219.20000000001164,-5500.099999999977
72,-219.20000000001164,-5500.099999999977
73,-219.20000000001164,-5500.099999999977
74,-219.20000000001164,-5500.099999999977
75,-219.20000000001164,-5500.099999999977
76,-219.20000000001164,-5500.099999999977
77,-2664.656799999997,-10327.599999999977
78,-2664.656799999997,-10327.599999999977
79,-2664.656799999997,-10327.599999999977
80,-2664.656799999997,-10327.599999999977
81,-2664.656799999997,-10327.599999999977
82,-2664.656799999997,-10327.599999999977
83,-2664.656799999997,-10327.599999999977
84,-2664.656799999997,-10327.599999999977
85,-2664.656799999997,-10327.599999999977
86,-2664.656799999997,-10327.599999999977
87,-1923.5,-7878.4770000000135
88,-1923.5,-7878.4770000000135
89,-1923.5,-7878.4770000000135
90,-1923.5,-7878.4770000000135
91,-1923.5,-7878.4770000000135
92,-1923.5,-7878.4770000000135
93,-1923.5,-7878.4770000000135
94,-1923.5,-7878.4770000000135
95,-1923.5,-7878.4770000000135
96,-1923.5,-7878.4770000000135
97,-27898.0,-1125.1999999999534
98,-27898.0,-1125.1999999999534
99,-27898.0,-1125.1999999999534
100,-27898.0,-1125.1999999999534
101,-27898.0,-1125.1999999999534
102,-27898.0,-1125.1999999999534
103,-27898.0,-1125.1999999999534
104,-27898.0,-1125.1999999999534
105,-27898.0,-1125.1999999999534
106,-27898.0,-1125.1999999999534
107,-3932.6999999999534,-8845.0
108,-3932.6999999999534,-8845.0
109,-3932.6999999999534,-8845.0
110,-3932.6999999999534,-8845.0
111,-3932.6999999999534,-8845.0
112,-3932.6999999999534,-8845.0
113,-3932.6999999999534,-8845.0
114,-3932.6999999999534,-8845.0
115,-3932.6999999999534,-8845.0
116,-3932.6999999999534,-8845.0
117,-4775.900000000023,-10900.099999999977
118,-4775.900000000023,-10900.099999999977
119,-4775.900000000023,-10900.099999999977
120,-4775.900000000023,-10900.099999999977
121,-4775.900000000023,-10900.099999999977
122,-4775.900000000023,-10900.099999999977
123,-4775.900000000023,-10900.099999999977
124,-4775.900000000023,-10900.099999999977
125,-4775.900000000023,-10900.099999999977
126,-4775.900000000023,-10900.099999999977
127,-4627.199999999953,-16848.5
128,-4627.199999999953,-16848.5
129,-4627.199999999953,-16848.5
130,-4627.199999999953,-16848.5
131,-4627.199999999953,-16848.5
132,-4627.199999999953,-16848.5
133,-4627.199999999953,-16848.5
134,-4627.199999999953,-16848.5
135,-4627.199999999953,-16848.5
136,-4627.199999999953,-16848.5
137,-3201.0,-6269.900000000023
138,-3201.0,-6269.900000000023
139,-3201.0,-6269.900000000023
140,-3201.0,-6269.900000000023
141,-3201.0,-6269.900000000023
142,-3201.0,-6269.900000000023
143,-3201.0,-6269.900000000023
144,-3201.0,-6269.900000000023
145,-3201.0,-6269.900000000023
146,-3201.0,-6269.900000000023
147,3697.4000000000233,-9354.699999999953
148,3697.4000000000233,-9354.699999999953
149,3697.4000000000233,-9354.699999999953
150,3697.4000000000233,-9354.699999999953
151,3697.4000000000233,-9354.699999999953
152,3697.4000000000233,-9354.699999999953
153,3697.4000000000233,-9354.699999999953
154,3697.4000000000233,-9354.699999999953
155,3697.4000000000233,-9354.699999999953
156,3697.4000000000233,-9354.699999999953
157,-8512.5,-8984.5
158,-8512.5,-8984.5
159,-8512.5,-8984.5
160,-8512.5,-8984.5
161,-8512.5,-8984.5
162,-8512.5,-8984.5
163,-8512.5,-8984.5
164,-8512.5,-8984.5
165,-8512.5,-8984.5
166,-8512.5,-8984.5
167,1370.5,-6760.699999999953
168,1370.5,-6760.699999999953
169,1370.5,-6760.699999999953
170,1370.5,-6760.699999999953
171,1370.5,-6760.699999999953
172,1370.5,-6760.699999999953
173,1370.5,-6760.699999999953
